Code,variable,value
3233,Non_sch_quals_PostGrad_Dgre_M,15
3235,Non_sch_quals_PostGrad_Dgre_M,3
3236,Non_sch_quals_PostGrad_Dgre_M,0
3237,Non_sch_quals_PostGrad_Dgre_M,6
3238,Non_sch_quals_PostGrad_Dgre_M,0
3239,Non_sch_quals_PostGrad_Dgre_M,0
3240,Non_sch_quals_PostGrad_Dgre_M,30
3241,Non_sch_quals_PostGrad_Dgre_M,7
3242,Non_sch_quals_PostGrad_Dgre_M,3
3243,Non_sch_quals_PostGrad_Dgre_M,5
3249,Non_sch_quals_PostGrad_Dgre_M,12
3250,Non_sch_quals_PostGrad_Dgre_M,40
3251,Non_sch_quals_PostGrad_Dgre_M,3
3254,Non_sch_quals_PostGrad_Dgre_M,0
3260,Non_sch_quals_PostGrad_Dgre_M,19
3264,Non_sch_quals_PostGrad_Dgre_M,7
3265,Non_sch_quals_PostGrad_Dgre_M,10
3266,Non_sch_quals_PostGrad_Dgre_M,5
3267,Non_sch_quals_PostGrad_Dgre_M,0
3268,Non_sch_quals_PostGrad_Dgre_M,9
3269,Non_sch_quals_PostGrad_Dgre_M,9
3270,Non_sch_quals_PostGrad_Dgre_M,3
3272,Non_sch_quals_PostGrad_Dgre_M,0
3273,Non_sch_quals_PostGrad_Dgre_M,3
3274,Non_sch_quals_PostGrad_Dgre_M,0
3275,Non_sch_quals_PostGrad_Dgre_M,3
3276,Non_sch_quals_PostGrad_Dgre_M,0
3277,Non_sch_quals_PostGrad_Dgre_M,7
3278,Non_sch_quals_PostGrad_Dgre_M,0
3280,Non_sch_quals_PostGrad_Dgre_M,181
3281,Non_sch_quals_PostGrad_Dgre_M,14
3282,Non_sch_quals_PostGrad_Dgre_M,15
3283,Non_sch_quals_PostGrad_Dgre_M,4
3284,Non_sch_quals_PostGrad_Dgre_M,37
3285,Non_sch_quals_PostGrad_Dgre_M,9
3286,Non_sch_quals_PostGrad_Dgre_M,0
3287,Non_sch_quals_PostGrad_Dgre_M,0
3289,Non_sch_quals_PostGrad_Dgre_M,4
3292,Non_sch_quals_PostGrad_Dgre_M,0
3293,Non_sch_quals_PostGrad_Dgre_M,0
3294,Non_sch_quals_PostGrad_Dgre_M,4
3300,Non_sch_quals_PostGrad_Dgre_M,71
3301,Non_sch_quals_PostGrad_Dgre_M,9
3302,Non_sch_quals_PostGrad_Dgre_M,0
3303,Non_sch_quals_PostGrad_Dgre_M,0
3304,Non_sch_quals_PostGrad_Dgre_M,0
3305,Non_sch_quals_PostGrad_Dgre_M,39
3309,Non_sch_quals_PostGrad_Dgre_M,0
3310,Non_sch_quals_PostGrad_Dgre_M,0
3311,Non_sch_quals_PostGrad_Dgre_M,3
3312,Non_sch_quals_PostGrad_Dgre_M,3
3314,Non_sch_quals_PostGrad_Dgre_M,3
3315,Non_sch_quals_PostGrad_Dgre_M,8
3317,Non_sch_quals_PostGrad_Dgre_M,0
3318,Non_sch_quals_PostGrad_Dgre_M,4
3319,Non_sch_quals_PostGrad_Dgre_M,0
3321,Non_sch_quals_PostGrad_Dgre_M,7
3324,Non_sch_quals_PostGrad_Dgre_M,0
3325,Non_sch_quals_PostGrad_Dgre_M,3
3328,Non_sch_quals_PostGrad_Dgre_M,13
3329,Non_sch_quals_PostGrad_Dgre_M,0
