Code,Area sqkm,Tot_P_M,Tot_P_F,Tot_P_P,R_Tot_Total,O_Tot_Total,0-9F,0-9M,10-19F,10-19M,20-29F,20-29M,30-39F,30-39M,40-49F,40-49M,50-59F,50-59M,60-69F,60-69M,70-79F,70-79M,80-89F,80-89M,90+F,90+M,Median_Tot_fam_inc_weekly,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,A,B
3048,7.76082,8907,9200,18107,1428,3485,2918,3036,3148,3208,2786,2670,2504,2472,2738,2556,1950,1788,1362,1264,710,680,120,60,21,11,884,74,39,24,38,344,418,303,393,937,633,360.0,874.0
3049,10.0727,4304,4481,8785,454,2418,1016,992,1246,1208,1242,1342,1130,1080,1396,1354,1446,1248,878,838,412,408,81,65,17,3,1567,38,31,34,50,246,390,235,325,957,427,98.0,309.0
3051,2.38918,5924,5831,11755,3056,1473,826,914,1146,1176,4132,3938,2064,2354,1252,1266,944,992,596,660,444,376,106,73,23,13,1734,541,535,114,225,1430,1534,328,338,420,311,200.0,987.0
3052,3.50839,2215,2458,4673,885,605,258,246,538,438,1764,1542,644,702,416,412,408,366,342,348,182,210,127,65,55,18,1939,297,297,52,96,558,654,105,126,136,88,139.0,512.0
3053,1.69631,6491,7018,13509,4520,1284,682,760,1696,1402,6966,6212,1874,2000,908,800,768,722,632,622,342,314,81,67,3,8,1295,596,642,120,179,1534,1816,358,371,311,273,177.0,1437.0
3054,2.30411,3909,4387,8296,1778,1626,644,684,526,480,2634,2122,1676,1586,1034,952,804,770,784,676,382,308,123,103,22,17,2285,479,534,134,266,1149,1369,246,287,270,205,57.0,391.0
3055,3.17928,6457,6692,13149,2529,2868,1266,1308,906,956,3076,3092,2648,2580,1796,1712,1394,1300,934,908,760,614,241,189,60,33,1630,466,496,168,304,1196,1452,476,550,718,447,77.0,521.0
3056,5.14247,11127,11637,22764,4416,4634,1960,2050,1278,1368,6220,5600,5410,5396,2720,2982,2134,1988,1444,1296,1232,1004,345,256,92,29,1809,943,1098,332,616,2478,3081,803,809,1064,609,280.0,1818.0
3057,2.16804,3958,4518,8476,1618,1869,770,754,488,484,2376,1912,2030,1964,1166,1060,782,662,578,464,538,374,135,111,19,11,1933,320,418,112,219,938,1248,276,303,398,234,60.0,477.0
3058,11.8119,15423,16127,31550,3475,7607,3968,3910,2710,2982,5362,5700,5758,5438,4682,4526,3522,3178,2332,2184,2194,1750,718,535,145,54,1473,749,791,297,583,2125,2695,975,1102,1955,1024,369.0,2353.0
3059,18.2653,6040,5929,11969,192,3109,1428,1430,2252,2292,1556,1618,1332,1262,2296,2038,1714,1888,870,1022,306,428,48,48,3,3,1748,86,59,30,49,460,565,359,420,1103,514,60.0,386.0
3060,5.08493,6225,6371,12596,1007,3032,1744,1766,1532,1482,1526,1886,1696,1760,1524,1608,1210,1144,994,890,1426,1052,485,390,59,42,995,200,110,31,52,441,485,317,281,817,403,172.0,738.0
3061,12.3927,2835,2632,5467,421,1156,778,832,706,770,844,888,664,784,560,722,520,502,672,584,370,432,67,74,7,4,824,37,21,11,11,124,106,105,102,313,152,147.0,1061.0
3062,5.41011,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,107.0
3063,64.6076,351,328,679,44,147,72,72,80,98,78,120,78,70,98,106,86,82,96,74,44,54,8,11,3,3,1442,9,7,5,4,24,34,15,16,69,30,9.0,11.0
3064,92.3005,26375,26799,53174,2712,12193,9342,9812,8800,8934,8558,8012,9418,8742,8564,8242,4980,5228,2418,2560,1064,936,210,126,17,15,1370,515,441,139,248,1569,2076,1270,1671,4127,2575,762.0,2411.0
3065,1.37749,4652,4778,9430,2306,1390,852,868,546,486,2620,2120,2272,2284,1098,1316,860,1012,656,628,430,368,102,100,9,11,1917,392,434,130,195,1138,1258,274,311,331,269,285.0,1573.0
3066,1.26704,3252,3215,6467,1733,902,614,666,404,418,1658,1464,1602,1758,832,992,542,602,366,324,260,180,64,47,12,3,1723,195,203,72,110,728,719,210,197,314,222,235.0,965.0
3067,1.74069,2481,2426,4907,765,1037,396,402,330,254,1128,1024,1106,1246,568,840,502,530,380,398,210,154,87,52,29,5,2233,167,201,85,117,582,629,180,182,214,131,92.0,530.0
3068,4.24379,8207,9060,17267,3251,3671,1724,1840,1210,1202,3638,2930,3898,3648,2622,2526,2182,1864,1420,1366,850,668,246,176,42,9,2370,863,991,319,557,2225,2612,456,640,667,420,131.0,1024.0
3070,5.84938,10879,12041,22920,3345,5501,2806,2804,1844,1968,3940,3322,4914,4326,3964,3648,2528,2360,1658,1420,1352,1160,413,333,125,42,2031,867,998,362,758,2261,2976,648,795,1104,631,162.0,1288.0
3071,5.2928,8432,9003,17435,2904,4002,2042,2162,1194,1260,3214,2946,3830,3582,2708,2606,1816,1688,1140,1086,1180,924,354,268,86,39,1611,479,557,200,456,1490,1844,565,665,990,587,154.0,907.0
3072,11.3127,14830,15095,29925,3940,6612,3622,3780,2628,2808,5052,5222,5432,5452,4680,4510,3214,3282,2292,2058,1874,1580,587,425,111,59,1373,634,657,260,462,1960,2384,980,1079,1787,1016,562.0,3223.0
3073,19.122,23372,24265,47637,5889,11347,5194,5588,4358,4578,7422,8004,7538,7648,6324,6184,5168,4962,4516,3920,4192,3436,1642,1069,266,142,1156,772,667,208,432,2136,2543,1372,1587,3538,1942,476.0,2293.0
3074,14.6842,10193,10138,20331,1509,4953,2300,2224,2278,2424,2936,3300,2682,2828,2512,2508,2578,2346,2488,2380,1768,1676,328,329,38,21,962,181,140,35,65,563,600,436,520,1301,828,323.0,1793.0
3075,12.0642,9910,9964,19874,1462,4915,2354,2458,2236,2474,2794,2844,2830,2876,2346,2618,2400,2068,2352,2184,1910,1684,323,294,29,13,987,144,126,43,47,497,584,403,515,1402,805,237.0,945.0
3076,21.9994,13041,13305,26346,1884,6285,3790,4100,3424,3454,4420,4452,4528,4488,3800,3508,3100,2916,1798,1832,944,896,320,195,82,23,1370,313,245,85,119,872,1206,695,896,2219,1303,414.0,1935.0
3078,6.35497,5206,5343,10549,1476,2558,1282,1252,1030,1152,1676,1680,1786,1712,1824,1748,1296,1342,778,776,566,442,186,135,38,19,2137,422,445,169,325,989,1250,318,340,585,280,66.0,497.0
3079,7.17971,7158,7690,14848,1554,3818,1628,1852,1996,1886,1880,1886,1998,1878,2516,2114,2156,2094,1432,1408,906,706,357,202,77,44,2274,652,531,217,366,1498,1677,437,585,691,411,84.0,492.0
3081,6.69111,6590,6855,13445,2385,2548,1682,1652,1384,1504,2236,2360,2116,2234,1748,1744,1572,1538,1094,1042,834,592,418,221,105,35,1169,288,223,97,166,707,909,357,460,958,523,361.0,796.0
3082,13.0617,15053,15465,30518,1735,7628,3502,3790,4604,4788,4640,4770,3986,3820,5460,4664,4502,4452,2336,2356,1198,1044,297,184,54,26,1457,274,237,108,164,1238,1578,882,1157,2688,1518,292.0,1274.0
3083,15.6991,13847,14224,28071,2213,7023,2822,3184,3012,3166,5468,5590,3696,3748,3800,3606,3334,3070,3056,2762,1946,1712,541,391,117,37,1367,608,560,137,215,1649,1937,874,961,2376,1073,202.0,1275.0
3084,13.0315,11774,12498,24272,1913,6921,2848,3128,2626,2798,2868,2878,3368,3106,3614,3348,3148,3038,2830,2390,1990,1650,702,547,150,59,1925,860,661,275,544,2116,2438,829,982,1644,849,180.0,757.0
