POSTCODE,CRIMETYPE,CRIMES
3107,Personal,48.0
3108,Personal,145.0
3109,Personal,112.0
3111,Personal,25.0
3113,Personal,30.0
3114,Personal,53.0
3115,Personal,8.0
3116,Personal,38.0
3121,Personal,369.0
3122,Personal,183.0
3123,Personal,29.0
3124,Personal,97.0
3125,Personal,88.0
3126,Personal,28.0
3127,Personal,58.0
3128,Personal,228.0
3129,Personal,53.0
3130,Personal,136.0
3131,Personal,108.0
3132,Personal,63.0
3133,Personal,67.0
3134,Personal,283.0
3135,Personal,112.0
3136,Personal,485.0
3137,Personal,96.0
3138,Personal,201.0
3139,Personal,65.0
3140,Personal,221.0
3141,Personal,235.0
3142,Personal,80.0
3143,Personal,47.0
3144,Personal,75.0
3145,Personal,128.0
3146,Personal,97.0
3147,Personal,98.0
3148,Personal,130.0
3149,Personal,136.0
3150,Personal,228.0
3151,Personal,45.0
3152,Personal,275.0
3153,Personal,222.0
3154,Personal,23.0
3155,Personal,301.0
3156,Personal,289.0
3158,Personal,50.0
3159,Personal,8.0
3160,Personal,47.0
3161,Personal,62.0
3162,Personal,113.0
3163,Personal,125.0
3165,Personal,140.0
3166,Personal,173.0
3167,Personal,71.0
3168,Personal,202.0
3169,Personal,147.0
3170,Personal,110.0
3171,Personal,289.0
3172,Personal,158.0
3173,Personal,167.0
3174,Personal,547.0
3175,Personal,1274.0
3177,Personal,247.0
3178,Personal,197.0
3179,Personal,39.0
3180,Personal,48.0
3181,Personal,368.0
3182,Personal,593.0
3183,Personal,128.0
3184,Personal,130.0
3185,Personal,68.0
3186,Personal,107.0
3187,Personal,55.0
3188,Personal,130.0
3189,Personal,132.0
3190,Personal,99.0
3191,Personal,54.0
3192,Personal,186.0
3193,Personal,58.0
3194,Personal,110.0
3195,Personal,285.0
3196,Personal,245.0
3197,Personal,106.0
3198,Personal,257.0
3199,Personal,1171.0
3200,Personal,153.0
3201,Personal,260.0
3202,Personal,19.0
3204,Personal,155.0
3205,Personal,267.0
3206,Personal,71.0
3207,Personal,282.0
3211,Personal,3.0
3212,Personal,185.0
3214,Personal,578.0
3215,Personal,170.0
3216,Personal,315.0
3217,Personal,1.0
3218,Personal,110.0
3219,Personal,223.0
3220,Personal,400.0
3221,Personal,39.0
3222,Personal,50.0
3223,Personal,34.0
3224,Personal,36.0
3225,Personal,19.0
3226,Personal,35.0
3227,Personal,12.0
3228,Personal,66.0
3230,Personal,16.0
3231,Personal,10.0
3232,Personal,23.0
3233,Personal,25.0
3235,Personal,2.0
3236,Personal,
3237,Personal,1.0
3238,Personal,5.0
3239,Personal,6.0
3240,Personal,4.0
3241,Personal,22.0
3242,Personal,1.0
3243,Personal,2.0
3249,Personal,17.0
3250,Personal,218.0
3251,Personal,
3254,Personal,3.0
3260,Personal,43.0
3264,Personal,13.0
3265,Personal,62.0
3266,Personal,15.0
3267,Personal,
3268,Personal,8.0
3269,Personal,8.0
3270,Personal,2.0
3272,Personal,16.0
3273,Personal,3.0
3274,Personal,1.0
3275,Personal,
3276,Personal,7.0
3277,Personal,13.0
3278,Personal,
3280,Personal,474.0
3281,Personal,2.0
3282,Personal,26.0
3283,Personal,8.0
3284,Personal,20.0
3285,Personal,3.0
3286,Personal,4.0
3287,Personal,1.0
3289,Personal,1.0
3292,Personal,
3293,Personal,2.0
3294,Personal,2.0
3300,Personal,151.0
3301,Personal,
3302,Personal,
3303,Personal,
3304,Personal,25.0
3305,Personal,164.0
3309,Personal,
3310,Personal,4.0
3311,Personal,6.0
3312,Personal,8.0
3314,Personal,
3315,Personal,13.0
3317,Personal,
3318,Personal,10.0
3319,Personal,
3321,Personal,
3324,Personal,4.0
3325,Personal,14.0
3328,Personal,1.0
3329,Personal,1.0
3330,Personal,
3331,Personal,11.0
3332,Personal,2.0
3333,Personal,20.0
3334,Personal,1.0
3335,Personal,26.0
3337,Personal,610.0
3338,Personal,240.0
3340,Personal,208.0
3341,Personal,7.0
3342,Personal,22.0
3345,Personal,3.0
3350,Personal,1036.0
3351,Personal,43.0
3352,Personal,100.0
3355,Personal,277.0
3356,Personal,272.0
3357,Personal,24.0
3360,Personal,
3361,Personal,3.0
3363,Personal,31.0
3364,Personal,6.0
3370,Personal,12.0
3371,Personal,10.0
3373,Personal,13.0
3374,Personal,
3375,Personal,
3377,Personal,278.0
3378,Personal,1.0
3379,Personal,5.0
3380,Personal,162.0
3381,Personal,11.0
3384,Personal,3.0
3385,Personal,1.0
3387,Personal,1.0
3388,Personal,11.0
3390,Personal,8.0
3391,Personal,7.0
3392,Personal,5.0
3393,Personal,42.0
3395,Personal,2.0
3396,Personal,5.0
3400,Personal,460.0
3401,Personal,23.0
3407,Personal,
3409,Personal,11.0
3412,Personal,12.0
3413,Personal,
3414,Personal,25.0
3418,Personal,8.0
3419,Personal,12.0
3420,Personal,
3423,Personal,13.0
3424,Personal,11.0
3427,Personal,40.0
3428,Personal,9.0
3429,Personal,392.0
3430,Personal,
3431,Personal,16.0
3433,Personal,1.0
3434,Personal,36.0
3435,Personal,12.0
3437,Personal,41.0
3438,Personal,7.0
3440,Personal,3.0
3441,Personal,2.0
3442,Personal,35.0
3444,Personal,84.0
3446,Personal,49.0
3447,Personal,1.0
3448,Personal,4.0
3450,Personal,115.0
3451,Personal,16.0
3453,Personal,4.0
3458,Personal,7.0
3460,Personal,46.0
3461,Personal,13.0
3462,Personal,14.0
3463,Personal,13.0
3464,Personal,10.0
3465,Personal,165.0
3467,Personal,23.0
3468,Personal,
3469,Personal,9.0
3472,Personal,11.0
3475,Personal,12.0
3477,Personal,
3478,Personal,90.0
3480,Personal,16.0
3482,Personal,9.0
3483,Personal,2.0
3485,Personal,2.0
3490,Personal,6.0
3491,Personal,
3494,Personal,6.0
3496,Personal,73.0
3498,Personal,38.0
3500,Personal,721.0
3501,Personal,10.0
3505,Personal,56.0
3507,Personal,1.0
3509,Personal,1.0
3512,Personal,2.0
3515,Personal,6.0
3516,Personal,15.0
3517,Personal,12.0
3518,Personal,20.0
3520,Personal,6.0
3521,Personal,12.0
3522,Personal,8.0
3523,Personal,26.0
3525,Personal,11.0
3527,Personal,4.0
3530,Personal,
3531,Personal,
3533,Personal,15.0
3537,Personal,4.0
3540,Personal,5.0
3542,Personal,
3544,Personal,4.0
3546,Personal,10.0
3549,Personal,94.0
3550,Personal,718.0
3551,Personal,86.0
3555,Personal,204.0
3556,Personal,166.0
3557,Personal,15.0
3558,Personal,23.0
3559,Personal,5.0
3561,Personal,52.0
3562,Personal,1.0
3563,Personal,
3564,Personal,182.0
3566,Personal,2.0
3567,Personal,8.0
3568,Personal,31.0
3570,Personal,8.0
3571,Personal,
3572,Personal,1.0
3573,Personal,5.0
3575,Personal,3.0
3579,Personal,53.0
3580,Personal,4.0
3581,Personal,9.0
3584,Personal,9.0
3585,Personal,325.0
3586,Personal,3.0
3588,Personal,
3589,Personal,9.0
3590,Personal,2.0
3591,Personal,
3594,Personal,
3595,Personal,6.0
3596,Personal,
3597,Personal,4.0
3608,Personal,16.0
3610,Personal,21.0
3612,Personal,35.0
3614,Personal,2.0
3616,Personal,50.0
3617,Personal,
3618,Personal,4.0
3620,Personal,64.0
3621,Personal,10.0
3622,Personal,3.0
3623,Personal,1.0
3624,Personal,7.0
3629,Personal,148.0
3630,Personal,665.0
3631,Personal,42.0
3633,Personal,2.0
3634,Personal,11.0
3635,Personal,1.0
3636,Personal,33.0
3637,Personal,6.0
3638,Personal,12.0
3639,Personal,6.0
3640,Personal,7.0
3641,Personal,7.0
3644,Personal,63.0
3646,Personal,5.0
3649,Personal,1.0
3658,Personal,59.0
3659,Personal,7.0
3660,Personal,265.0
3662,Personal,5.0
3663,Personal,1.0
3664,Personal,21.0
3666,Personal,44.0
3669,Personal,14.0
3670,Personal,9.0
3672,Personal,180.0
3673,Personal,5.0
3675,Personal,12.0
3677,Personal,351.0
3678,Personal,18.0
3682,Personal,3.0
3683,Personal,9.0
3685,Personal,17.0
3687,Personal,4.0
3688,Personal,5.0
3690,Personal,426.0
3691,Personal,28.0
3694,Personal,
3695,Personal,
3697,Personal,4.0
3698,Personal,
3699,Personal,5.0
3700,Personal,9.0
3701,Personal,4.0
3705,Personal,
3707,Personal,31.0
3709,Personal,2.0
3711,Personal,
3712,Personal,2.0
3713,Personal,19.0
3714,Personal,32.0
3715,Personal,4.0
3717,Personal,30.0
3719,Personal,
3720,Personal,6.0
3722,Personal,43.0
3723,Personal,9.0
3725,Personal,4.0
3726,Personal,3.0
3727,Personal,1.0
3728,Personal,2.0
3730,Personal,50.0
3732,Personal,
3733,Personal,4.0
3735,Personal,1.0
3737,Personal,28.0
3739,Personal,2.0
3740,Personal,6.0
3741,Personal,27.0
3744,Personal,2.0
3746,Personal,
3747,Personal,24.0
3749,Personal,3.0
3750,Personal,14.0
3751,Personal,1.0
3752,Personal,240.0
3753,Personal,12.0
3754,Personal,109.0
3755,Personal,6.0
3756,Personal,134.0
3757,Personal,66.0
3758,Personal,23.0
3759,Personal,13.0
3760,Personal,
3761,Personal,9.0
3763,Personal,21.0
3764,Personal,85.0
3765,Personal,49.0
3766,Personal,4.0
3767,Personal,1.0
3770,Personal,29.0
3775,Personal,14.0
3777,Personal,83.0
3778,Personal,3.0
3779,Personal,6.0
3781,Personal,29.0
3782,Personal,40.0
3783,Personal,15.0
3785,Personal,
3786,Personal,3.0
3787,Personal,8.0
3788,Personal,12.0
3789,Personal,1.0
3791,Personal,5.0
3792,Personal,5.0
3793,Personal,17.0
3795,Personal,3.0
3796,Personal,47.0
3797,Personal,35.0
3799,Personal,36.0
3800,Personal,
3802,Personal,243.0
3803,Personal,155.0
3804,Personal,19.0
3805,Personal,588.0
3806,Personal,356.0
3807,Personal,46.0
3808,Personal,92.0
3809,Personal,25.0
3810,Personal,585.0
3812,Personal,19.0
3813,Personal,3.0
3814,Personal,13.0
3815,Personal,17.0
3816,Personal,29.0
3818,Personal,135.0
3820,Personal,210.0
3821,Personal,15.0
3822,Personal,5.0
3823,Personal,16.0
3824,Personal,31.0
3825,Personal,600.0
3831,Personal,26.0
3832,Personal,
3833,Personal,6.0
3835,Personal,12.0
3840,Personal,654.0
3842,Personal,200.0
3844,Personal,747.0
3847,Personal,42.0
3850,Personal,383.0
3851,Personal,166.0
3852,Personal,
3854,Personal,4.0
3856,Personal,7.0
3857,Personal,2.0
3858,Personal,41.0
3859,Personal,5.0
3860,Personal,109.0
3862,Personal,15.0
3864,Personal,4.0
3865,Personal,
3869,Personal,14.0
3870,Personal,33.0
3871,Personal,24.0
3873,Personal,
3874,Personal,20.0
3875,Personal,311.0
3878,Personal,5.0
3880,Personal,20.0
3882,Personal,2.0
3885,Personal,11.0
3886,Personal,8.0
3887,Personal,16.0
3888,Personal,54.0
3889,Personal,1.0
3890,Personal,6.0
3891,Personal,3.0
3892,Personal,16.0
3895,Personal,4.0
3896,Personal,4.0
3898,Personal,8.0
3900,Personal,3.0
3902,Personal,1.0
3903,Personal,6.0
3904,Personal,2.0
3909,Personal,166.0
3910,Personal,162.0
3911,Personal,24.0
3912,Personal,149.0
3913,Personal,56.0
3915,Personal,232.0
3916,Personal,1.0
3918,Personal,14.0
3919,Personal,36.0
3920,Personal,10.0
3921,Personal,
3922,Personal,100.0
3923,Personal,2.0
3925,Personal,88.0
3926,Personal,11.0
3927,Personal,13.0
3928,Personal,
3929,Personal,7.0
3930,Personal,50.0
3931,Personal,255.0
3933,Personal,12.0
3934,Personal,65.0
3936,Personal,93.0
3937,Personal,8.0
3938,Personal,9.0
3939,Personal,213.0
3940,Personal,60.0
3941,Personal,118.0
3942,Personal,12.0
3943,Personal,112.0
3944,Personal,7.0
3945,Personal,14.0
3950,Personal,50.0
3951,Personal,
3953,Personal,75.0
3954,Personal,2.0
3956,Personal,31.0
3957,Personal,
3958,Personal,
3959,Personal,3.0
3960,Personal,9.0
3962,Personal,5.0
3965,Personal,4.0
3966,Personal,5.0
3971,Personal,74.0
3975,Personal,75.0
3976,Personal,301.0
3977,Personal,869.0
3978,Personal,10.0
3979,Personal,3.0
3980,Personal,15.0
3981,Personal,41.0
3984,Personal,57.0
3987,Personal,4.0
3988,Personal,4.0
3991,Personal,12.0
3992,Personal,2.0
3995,Personal,216.0
3996,Personal,36.0
3000,Property,14472.0
3002,Property,476.0
3003,Property,408.0
3004,Property,177.0
3005,Property,
3006,Property,1195.0
3008,Property,663.0
3010,Property,
3011,Property,1958.0
3012,Property,1543.0
3013,Property,785.0
3015,Property,956.0
3016,Property,1030.0
3018,Property,713.0
3019,Property,799.0
3020,Property,3610.0
3021,Property,3199.0
3022,Property,546.0
3023,Property,3235.0
3024,Property,868.0
3025,Property,903.0
3026,Property,461.0
3027,Property,156.0
3028,Property,1467.0
3029,Property,4180.0
3030,Property,4514.0
3031,Property,1302.0
3032,Property,2281.0
3033,Property,521.0
3034,Property,251.0
3036,Property,207.0
3037,Property,1896.0
3038,Property,1433.0
3039,Property,1090.0
3040,Property,1136.0
3041,Property,511.0
3042,Property,1148.0
3043,Property,1216.0
3044,Property,1063.0
3045,Property,446.0
3046,Property,1590.0
3047,Property,2113.0
3048,Property,874.0
3049,Property,309.0
3051,Property,987.0
3052,Property,512.0
3053,Property,1437.0
3054,Property,391.0
3055,Property,521.0
3056,Property,1818.0
3057,Property,477.0
3058,Property,2353.0
3059,Property,386.0
3060,Property,738.0
3061,Property,1061.0
3062,Property,107.0
3063,Property,11.0
3064,Property,2411.0
3065,Property,1573.0
3066,Property,965.0
3067,Property,530.0
3068,Property,1024.0
3070,Property,1288.0
3071,Property,907.0
3072,Property,3223.0
3073,Property,2293.0
3074,Property,1793.0
3075,Property,945.0
3076,Property,1935.0
3078,Property,497.0
3079,Property,492.0
3081,Property,796.0
3082,Property,1274.0
3083,Property,1275.0
3084,Property,757.0
3085,Property,331.0
3086,Property,
3087,Property,323.0
3088,Property,978.0
3089,Property,304.0
3090,Property,57.0
3091,Property,36.0
3093,Property,65.0
3094,Property,168.0
3095,Property,503.0
3096,Property,21.0
3097,Property,12.0
3099,Property,96.0
3101,Property,830.0
3102,Property,151.0
3103,Property,376.0
3104,Property,378.0
3105,Property,266.0
3106,Property,211.0
3107,Property,158.0
3108,Property,1214.0
3109,Property,552.0
3111,Property,132.0
3113,Property,92.0
3114,Property,41.0
3115,Property,28.0
3116,Property,361.0
3121,Property,2688.0
3122,Property,1216.0
3123,Property,335.0
3124,Property,859.0
3125,Property,558.0
3126,Property,196.0
3127,Property,477.0
3128,Property,1146.0
3129,Property,290.0
3130,Property,716.0
3131,Property,1080.0
3132,Property,804.0
3133,Property,438.0
3134,Property,1751.0
3135,Property,550.0
3136,Property,1115.0
3137,Property,540.0
3138,Property,535.0
3139,Property,232.0
3140,Property,797.0
3141,Property,1368.0
3142,Property,713.0
3143,Property,356.0
3144,Property,714.0
3145,Property,1341.0
3146,Property,529.0
3147,Property,472.0
3148,Property,609.0
3149,Property,1487.0
3150,Property,1432.0
3151,Property,289.0
3152,Property,1415.0
3153,Property,1312.0
3154,Property,112.0
3155,Property,1073.0
3156,Property,1266.0
3158,Property,208.0
3159,Property,53.0
3160,Property,368.0
3161,Property,449.0
3162,Property,487.0
3163,Property,818.0
3165,Property,491.0
3166,Property,1140.0
3167,Property,336.0
3168,Property,1422.0
3169,Property,508.0
3170,Property,809.0
3171,Property,1207.0
3172,Property,483.0
3173,Property,808.0
3174,Property,1383.0
3175,Property,4680.0
3177,Property,522.0
3178,Property,783.0
3179,Property,222.0
3180,Property,306.0
3181,Property,1649.0
3182,Property,2410.0
3183,Property,699.0
3184,Property,515.0
3185,Property,654.0
3186,Property,905.0
3187,Property,349.0
3188,Property,576.0
3189,Property,779.0
3190,Property,523.0
3191,Property,575.0
3192,Property,1412.0
3193,Property,425.0
3194,Property,586.0
3195,Property,1234.0
3196,Property,720.0
3197,Property,388.0
3198,Property,1051.0
3199,Property,4317.0
3200,Property,353.0
3201,Property,916.0
3202,Property,77.0
3204,Property,923.0
3205,Property,1505.0
3206,Property,611.0
3207,Property,1128.0
3211,Property,68.0
3212,Property,506.0
3214,Property,2257.0
3215,Property,1007.0
3216,Property,1760.0
3217,Property,30.0
3218,Property,600.0
3219,Property,1133.0
3220,Property,2133.0
3221,Property,255.0
3222,Property,275.0
3223,Property,199.0
3224,Property,249.0
3225,Property,114.0
3226,Property,331.0
3227,Property,189.0
3228,Property,496.0
3230,Property,102.0
3231,Property,54.0
3232,Property,108.0
3233,Property,82.0
3235,Property,11.0
3236,Property,6.0
3237,Property,6.0
3238,Property,10.0
3239,Property,11.0
3240,Property,29.0
3241,Property,107.0
3242,Property,16.0
3243,Property,10.0
3249,Property,77.0
3250,Property,535.0
3251,Property,10.0
3254,Property,7.0
3260,Property,142.0
3264,Property,177.0
3265,Property,39.0
3266,Property,76.0
3267,Property,6.0
3268,Property,57.0
3269,Property,26.0
3270,Property,10.0
3272,Property,73.0
3273,Property,3.0
3274,Property,7.0
3275,Property,4.0
3276,Property,5.0
3277,Property,38.0
3278,Property,8.0
3280,Property,1182.0
3281,Property,4.0
3282,Property,65.0
3283,Property,24.0
3284,Property,142.0
3285,Property,50.0
3286,Property,5.0
3287,Property,2.0
3289,Property,11.0
3292,Property,17.0
3293,Property,4.0
3294,Property,12.0
3300,Property,453.0
3301,Property,10.0
3302,Property,7.0
3303,Property,6.0
3304,Property,81.0
3305,Property,618.0
3309,Property,2.0
3310,Property,13.0
3311,Property,58.0
3312,Property,22.0
3314,Property,6.0
3315,Property,19.0
3317,Property,6.0
3318,Property,10.0
3319,Property,2.0
3321,Property,21.0
3324,Property,12.0
3325,Property,11.0
3328,Property,13.0
3329,Property,2.0
3330,Property,5.0
3331,Property,65.0
3332,Property,7.0
3333,Property,36.0
3334,Property,8.0
3335,Property,237.0
3337,Property,2159.0
3338,Property,969.0
3340,Property,841.0
3341,Property,16.0
3342,Property,142.0
3345,Property,30.0
3350,Property,3868.0
3351,Property,133.0
3352,Property,306.0
3355,Property,1093.0
3356,Property,1104.0
3357,Property,99.0
3360,Property,11.0
3361,Property,8.0
3363,Property,127.0
3364,Property,39.0
3370,Property,42.0
3371,Property,19.0
3373,Property,98.0
3374,Property,
3375,Property,6.0
3377,Property,529.0
3378,Property,2.0
3379,Property,9.0
3380,Property,239.0
3381,Property,37.0
3384,Property,8.0
3385,Property,4.0
3387,Property,
3388,Property,12.0
3390,Property,21.0
3391,Property,15.0
3392,Property,3.0
3393,Property,104.0
3395,Property,8.0
3396,Property,12.0
3400,Property,1674.0
3401,Property,47.0
3407,Property,10.0
3409,Property,18.0
3412,Property,11.0
3413,Property,2.0
3414,Property,25.0
3418,Property,56.0
3419,Property,24.0
3420,Property,5.0
3423,Property,24.0
3424,Property,23.0
3427,Property,83.0
3428,Property,30.0
3429,Property,1024.0
3430,Property,14.0
3431,Property,59.0
3433,Property,5.0
3434,Property,115.0
3435,Property,64.0
3437,Property,160.0
3438,Property,40.0
3440,Property,42.0
3441,Property,12.0
3442,Property,175.0
3444,Property,350.0
3446,Property,14.0
3447,Property,8.0
3448,Property,18.0
3450,Property,248.0
3451,Property,79.0
3453,Property,19.0
3458,Property,46.0
3460,Property,148.0
3461,Property,68.0
3462,Property,20.0
3463,Property,63.0
3464,Property,21.0
3465,Property,446.0
3467,Property,26.0
3468,Property,9.0
3469,Property,8.0
3472,Property,45.0
3475,Property,18.0
3477,Property,
3478,Property,78.0
3480,Property,27.0
3482,Property,5.0
3483,Property,24.0
3485,Property,
3490,Property,44.0
3491,Property,
3494,Property,22.0
3496,Property,261.0
3498,Property,150.0
3500,Property,2245.0
3501,Property,33.0
3505,Property,193.0
3507,Property,2.0
3509,Property,11.0
3512,Property,9.0
3515,Property,29.0
3516,Property,28.0
3517,Property,67.0
3518,Property,61.0
3520,Property,5.0
3521,Property,12.0
3522,Property,13.0
3523,Property,66.0
3525,Property,67.0
3527,Property,29.0
3530,Property,
3531,Property,4.0
3533,Property,25.0
3537,Property,12.0
3540,Property,8.0
3542,Property,1.0
3544,Property,8.0
3546,Property,16.0
3549,Property,189.0
3550,Property,2154.0
3551,Property,404.0
3555,Property,659.0
3556,Property,561.0
3557,Property,31.0
3558,Property,33.0
3559,Property,23.0
3561,Property,182.0
3562,Property,6.0
3563,Property,19.0
3564,Property,1004.0
3566,Property,9.0
3567,Property,10.0
3568,Property,51.0
3570,Property,16.0
3571,Property,10.0
3572,Property,4.0
3573,Property,19.0
3575,Property,11.0
3579,Property,187.0
3580,Property,8.0
3581,Property,6.0
3584,Property,15.0
3585,Property,460.0
3586,Property,8.0
3588,Property,5.0
3589,Property,7.0
3590,Property,4.0
3591,Property,
3594,Property,1.0
3595,Property,22.0
3596,Property,1.0
3597,Property,5.0
3608,Property,77.0
3610,Property,46.0
3612,Property,69.0
3614,Property,13.0
3616,Property,244.0
3617,Property,2.0
3618,Property,17.0
3620,Property,251.0
3621,Property,62.0
3622,Property,12.0
3623,Property,29.0
3624,Property,14.0
3629,Property,535.0
3630,Property,2332.0
3631,Property,213.0
3633,Property,8.0
3634,Property,16.0
3635,Property,13.0
3636,Property,100.0
3637,Property,8.0
3638,Property,57.0
3639,Property,15.0
3640,Property,16.0
3641,Property,15.0
3644,Property,248.0
3646,Property,10.0
3649,Property,13.0
3658,Property,108.0
3659,Property,30.0
3660,Property,424.0
3662,Property,13.0
3663,Property,10.0
3664,Property,21.0
3666,Property,98.0
3669,Property,32.0
3670,Property,10.0
3672,Property,440.0
3673,Property,16.0
3675,Property,37.0
3677,Property,913.0
3678,Property,39.0
3682,Property,15.0
3683,Property,46.0
3685,Property,61.0
3687,Property,32.0
3688,Property,26.0
3690,Property,2053.0
3691,Property,131.0
3694,Property,
3695,Property,6.0
3697,Property,6.0
3698,Property,6.0
3699,Property,28.0
3700,Property,34.0
3701,Property,14.0
3705,Property,5.0
3707,Property,45.0
3709,Property,9.0
3711,Property,4.0
3712,Property,7.0
3713,Property,51.0
3714,Property,71.0
3715,Property,4.0
3717,Property,59.0
3719,Property,10.0
3720,Property,35.0
3722,Property,95.0
3723,Property,79.0
3725,Property,8.0
3726,Property,4.0
3727,Property,3.0
3728,Property,11.0
3730,Property,235.0
3732,Property,6.0
3733,Property,2.0
3735,Property,1.0
3737,Property,99.0
3739,Property,2.0
3740,Property,11.0
3741,Property,66.0
3744,Property,4.0
3746,Property,8.0
3747,Property,64.0
3749,Property,19.0
3750,Property,223.0
3751,Property,14.0
3752,Property,769.0
3753,Property,52.0
3754,Property,1004.0
3755,Property,9.0
3756,Property,327.0
3757,Property,258.0
3758,Property,42.0
3759,Property,9.0
3760,Property,1.0
3761,Property,9.0
3763,Property,24.0
3764,Property,242.0
3765,Property,153.0
3766,Property,17.0
3767,Property,36.0
3770,Property,64.0
3775,Property,68.0
3777,Property,245.0
3778,Property,5.0
3779,Property,23.0
3781,Property,83.0
3782,Property,180.0
3783,Property,51.0
3785,Property,2.0
3786,Property,27.0
3787,Property,16.0
3788,Property,56.0
3789,Property,8.0
3791,Property,11.0
3792,Property,22.0
3793,Property,73.0
3795,Property,35.0
3796,Property,190.0
3797,Property,86.0
3799,Property,141.0
3800,Property,
3802,Property,588.0
3803,Property,514.0
3804,Property,186.0
3805,Property,2235.0
3806,Property,1279.0
3807,Property,225.0
3808,Property,37.0
3809,Property,266.0
3810,Property,1933.0
3812,Property,31.0
3813,Property,18.0
3814,Property,48.0
3815,Property,63.0
3816,Property,73.0
3818,Property,429.0
3820,Property,668.0
3821,Property,59.0
3822,Property,20.0
3823,Property,48.0
3824,Property,168.0
3825,Property,1427.0
3831,Property,27.0
3832,Property,
3833,Property,28.0
3835,Property,22.0
3840,Property,1700.0
3842,Property,238.0
3844,Property,1721.0
3847,Property,70.0
3850,Property,1150.0
3851,Property,177.0
3852,Property,
3854,Property,32.0
3856,Property,11.0
3857,Property,10.0
3858,Property,134.0
3859,Property,18.0
3860,Property,257.0
3862,Property,59.0
3864,Property,5.0
3865,Property,5.0
3869,Property,35.0
3870,Property,29.0
3871,Property,62.0
3873,Property,10.0
3874,Property,18.0
3875,Property,918.0
3878,Property,5.0
3880,Property,80.0
3882,Property,13.0
3885,Property,43.0
3886,Property,6.0
3887,Property,21.0
3888,Property,139.0
3889,Property,6.0
3890,Property,18.0
3891,Property,8.0
3892,Property,21.0
3895,Property,
3896,Property,8.0
3898,Property,8.0
3900,Property,7.0
3902,Property,3.0
3903,Property,14.0
3904,Property,23.0
3909,Property,483.0
3910,Property,701.0
3911,Property,140.0
3912,Property,412.0
3913,Property,125.0
3915,Property,843.0
3916,Property,48.0
3918,Property,97.0
3919,Property,118.0
3920,Property,2.0
3921,Property,
3922,Property,273.0
3923,Property,8.0
3925,Property,87.0
3926,Property,57.0
3927,Property,20.0
3928,Property,6.0
3929,Property,83.0
3930,Property,387.0
3931,Property,943.0
3933,Property,30.0
3934,Property,287.0
3936,Property,331.0
3937,Property,43.0
3938,Property,60.0
3939,Property,789.0
3940,Property,126.0
3941,Property,678.0
3942,Property,103.0
3943,Property,108.0
3944,Property,50.0
3945,Property,20.0
3950,Property,122.0
3951,Property,12.0
3953,Property,217.0
3954,Property,2.0
3956,Property,70.0
3957,Property,2.0
3958,Property,2.0
3959,Property,10.0
3960,Property,42.0
3962,Property,18.0
3965,Property,13.0
3966,Property,9.0
3971,Property,154.0
3975,Property,329.0
3976,Property,627.0
3977,Property,2979.0
3978,Property,171.0
3979,Property,2.0
3980,Property,86.0
3981,Property,140.0
3984,Property,177.0
3987,Property,13.0
3988,Property,12.0
3991,Property,31.0
3992,Property,6.0
3995,Property,523.0
3996,Property,206.0
