Code,A,B,PTYPE
3231,10.0,54.0,Property
3232,23.0,108.0,Property
3233,25.0,82.0,Property
3235,2.0,11.0,Property
3236,,6.0,Property
3237,1.0,6.0,Property
3238,5.0,10.0,Property
3239,6.0,11.0,Property
3240,4.0,29.0,Property
3241,22.0,107.0,Property
3242,1.0,16.0,Property
3243,2.0,10.0,Property
3249,17.0,77.0,Property
3250,218.0,535.0,Property
3251,,10.0,Property
3254,3.0,7.0,Property
3260,43.0,142.0,Property
3264,13.0,177.0,Property
3265,62.0,39.0,Property
3266,15.0,76.0,Property
3267,,6.0,Property
3268,8.0,57.0,Property
3269,8.0,26.0,Property
3270,2.0,10.0,Property
3272,16.0,73.0,Property
3273,3.0,3.0,Property
3274,1.0,7.0,Property
3275,,4.0,Property
3276,7.0,5.0,Property
3277,13.0,38.0,Property
3278,,8.0,Property
3280,474.0,1182.0,Property
3281,2.0,4.0,Property
3282,26.0,65.0,Property
3283,8.0,24.0,Property
3284,20.0,142.0,Property
3285,3.0,50.0,Property
3286,4.0,5.0,Property
3287,1.0,2.0,Property
3289,1.0,11.0,Property
3292,,17.0,Property
3293,2.0,4.0,Property
3294,2.0,12.0,Property
3300,151.0,453.0,Property
3301,,10.0,Property
3302,,7.0,Property
3303,,6.0,Property
3304,25.0,81.0,Property
3305,164.0,618.0,Property
3309,,2.0,Property
3310,4.0,13.0,Property
3311,6.0,58.0,Property
3312,8.0,22.0,Property
3314,,6.0,Property
3315,13.0,19.0,Property
3317,,6.0,Property
3318,10.0,10.0,Property
3319,,2.0,Property
3321,,21.0,Property
3324,4.0,12.0,Property
3325,14.0,11.0,Property
3328,1.0,13.0,Property
3329,1.0,2.0,Property
3330,,5.0,Property
3331,11.0,65.0,Property
3332,2.0,7.0,Property
3333,20.0,36.0,Property
3334,1.0,8.0,Property
3335,26.0,237.0,Property
3337,610.0,2159.0,Property
3338,240.0,969.0,Property
3340,208.0,841.0,Property
3341,7.0,16.0,Property
3342,22.0,142.0,Property
3345,3.0,30.0,Property
3350,1036.0,3868.0,Property
3351,43.0,133.0,Property
3352,100.0,306.0,Property
3355,277.0,1093.0,Property
3356,272.0,1104.0,Property
3357,24.0,99.0,Property
3360,,11.0,Property
3361,3.0,8.0,Property
3363,31.0,127.0,Property
3364,6.0,39.0,Property
3370,12.0,42.0,Property
3371,10.0,19.0,Property
3373,13.0,98.0,Property
3374,,,Property
3375,,6.0,Property
3377,278.0,529.0,Property
3378,1.0,2.0,Property
3379,5.0,9.0,Property
3380,162.0,239.0,Property
3381,11.0,37.0,Property
3384,3.0,8.0,Property
3385,1.0,4.0,Property
3387,1.0,,Property
3388,11.0,12.0,Property
3390,8.0,21.0,Property
3391,7.0,15.0,Property
3392,5.0,3.0,Property
3393,42.0,104.0,Property
3395,2.0,8.0,Property
3396,5.0,12.0,Property
3400,460.0,1674.0,Property
3401,23.0,47.0,Property
3407,,10.0,Property
3409,11.0,18.0,Property
3412,12.0,11.0,Property
3413,,2.0,Property
3414,25.0,25.0,Property
3418,8.0,56.0,Property
3419,12.0,24.0,Property
3420,,5.0,Property
3423,13.0,24.0,Property
3424,11.0,23.0,Property
3427,40.0,83.0,Property
3428,9.0,30.0,Property
3429,392.0,1024.0,Property
3430,,14.0,Property
3431,16.0,59.0,Property
3433,1.0,5.0,Property
3434,36.0,115.0,Property
3435,12.0,64.0,Property
3437,41.0,160.0,Property
3438,7.0,40.0,Property
3440,3.0,42.0,Property
3441,2.0,12.0,Property
3442,35.0,175.0,Property
3444,84.0,350.0,Property
3446,49.0,14.0,Property
3447,1.0,8.0,Property
3448,4.0,18.0,Property
3450,115.0,248.0,Property
3451,16.0,79.0,Property
3453,4.0,19.0,Property
3458,7.0,46.0,Property
3460,46.0,148.0,Property
3461,13.0,68.0,Property
3462,14.0,20.0,Property
3463,13.0,63.0,Property
3464,10.0,21.0,Property
3465,165.0,446.0,Property
3467,23.0,26.0,Property
3468,,9.0,Property
3469,9.0,8.0,Property
3472,11.0,45.0,Property
3475,12.0,18.0,Property
3477,,,Property
3478,90.0,78.0,Property
3480,16.0,27.0,Property
3482,9.0,5.0,Property
3483,2.0,24.0,Property
3485,2.0,,Property
3490,6.0,44.0,Property
3491,,,Property
3494,6.0,22.0,Property
3496,73.0,261.0,Property
3498,38.0,150.0,Property
3500,721.0,2245.0,Property
3501,10.0,33.0,Property
3505,56.0,193.0,Property
3507,1.0,2.0,Property
3509,1.0,11.0,Property
3512,2.0,9.0,Property
3515,6.0,29.0,Property
3516,15.0,28.0,Property
3517,12.0,67.0,Property
3518,20.0,61.0,Property
3520,6.0,5.0,Property
3521,12.0,12.0,Property
3522,8.0,13.0,Property
3523,26.0,66.0,Property
3525,11.0,67.0,Property
3527,4.0,29.0,Property
3530,,,Property
3531,,4.0,Property
3533,15.0,25.0,Property
3537,4.0,12.0,Property
3540,5.0,8.0,Property
3542,,1.0,Property
3544,4.0,8.0,Property
3546,10.0,16.0,Property
3549,94.0,189.0,Property
3550,718.0,2154.0,Property
3551,86.0,404.0,Property
3555,204.0,659.0,Property
3556,166.0,561.0,Property
3557,15.0,31.0,Property
3558,23.0,33.0,Property
3559,5.0,23.0,Property
3561,52.0,182.0,Property
3562,1.0,6.0,Property
3563,,19.0,Property
3564,182.0,1004.0,Property
3566,2.0,9.0,Property
3567,8.0,10.0,Property
3568,31.0,51.0,Property
3570,8.0,16.0,Property
3571,,10.0,Property
3572,1.0,4.0,Property
3573,5.0,19.0,Property
3575,3.0,11.0,Property
3579,53.0,187.0,Property
3580,4.0,8.0,Property
3581,9.0,6.0,Property
3584,9.0,15.0,Property
3585,325.0,460.0,Property
3586,3.0,8.0,Property
3588,,5.0,Property
3589,9.0,7.0,Property
3590,2.0,4.0,Property
3591,,,Property
3594,,1.0,Property
3595,6.0,22.0,Property
3596,,1.0,Property
3597,4.0,5.0,Property
3608,16.0,77.0,Property
3610,21.0,46.0,Property
3612,35.0,69.0,Property
3614,2.0,13.0,Property
3616,50.0,244.0,Property
3617,,2.0,Property
3618,4.0,17.0,Property
3620,64.0,251.0,Property
3621,10.0,62.0,Property
3622,3.0,12.0,Property
3623,1.0,29.0,Property
3624,7.0,14.0,Property
3629,148.0,535.0,Property
3630,665.0,2332.0,Property
3631,42.0,213.0,Property
3633,2.0,8.0,Property
3634,11.0,16.0,Property
3635,1.0,13.0,Property
3636,33.0,100.0,Property
3637,6.0,8.0,Property
3638,12.0,57.0,Property
3639,6.0,15.0,Property
3640,7.0,16.0,Property
3641,7.0,15.0,Property
3644,63.0,248.0,Property
3646,5.0,10.0,Property
3649,1.0,13.0,Property
3658,59.0,108.0,Property
