POSTCODE,FREQUENTAGE,CRIMETYPE,CRIMES
3294,60-69F,Personal,2.0
3300,10-19M,Personal,151.0
3301,50-59M,Personal,
3302,40-49M,Personal,
3303,40-49F,Personal,
3304,50-59M,Personal,25.0
3305,50-59M,Personal,164.0
3309,40-49M,Personal,
3310,50-59F,Personal,4.0
3311,60-69F,Personal,6.0
3312,40-49M,Personal,8.0
3314,0-9M,Personal,
3315,50-59M,Personal,13.0
3317,50-59M,Personal,
3318,40-49F,Personal,10.0
3319,50-59F,Personal,
3321,40-49M,Personal,
3324,60-69M,Personal,4.0
3325,50-59M,Personal,14.0
3328,40-49F,Personal,1.0
3329,10-19M,Personal,1.0
3330,60-69F,Personal,
3331,0-9M,Personal,11.0
3332,10-19M,Personal,2.0
3333,40-49F,Personal,20.0
3334,40-49F,Personal,1.0
3335,50-59M,Personal,26.0
3337,20-29F,Personal,610.0
3338,20-29F,Personal,240.0
3340,10-19M,Personal,208.0
3341,40-49F,Personal,7.0
3342,40-49F,Personal,22.0
3345,40-49F,Personal,3.0
3350,20-29F,Personal,1036.0
3351,40-49F,Personal,43.0
3352,40-49M,Personal,100.0
3355,10-19M,Personal,277.0
3356,20-29F,Personal,272.0
3357,50-59F,Personal,24.0
3360,50-59M,Personal,
3361,10-19M,Personal,3.0
3363,50-59F,Personal,31.0
3364,50-59M,Personal,6.0
3370,50-59F,Personal,12.0
3371,50-59M,Personal,10.0
3373,60-69M,Personal,13.0
3374,50-59F,Personal,
3375,60-69M,Personal,
3377,50-59M,Personal,278.0
3378,50-59M,Personal,1.0
3379,50-59M,Personal,5.0
3380,40-49F,Personal,162.0
3381,60-69M,Personal,11.0
3384,50-59M,Personal,3.0
3385,50-59M,Personal,1.0
3387,50-59M,Personal,1.0
3388,10-19F,Personal,11.0
3390,50-59M,Personal,8.0
3391,50-59M,Personal,7.0
3392,60-69M,Personal,5.0
3393,50-59F,Personal,42.0
3395,50-59M,Personal,2.0
3396,50-59M,Personal,5.0
3400,0-9M,Personal,460.0
3401,40-49M,Personal,23.0
3407,40-49F,Personal,
3409,50-59M,Personal,11.0
3412,60-69M,Personal,12.0
3413,0-9F,Personal,
3414,50-59F,Personal,25.0
3418,10-19M,Personal,8.0
3419,40-49F,Personal,12.0
3420,50-59M,Personal,
3423,50-59M,Personal,13.0
3424,60-69M,Personal,11.0
3427,50-59M,Personal,40.0
3428,40-49F,Personal,9.0
3429,40-49F,Personal,392.0
3430,40-49M,Personal,
3431,40-49F,Personal,16.0
3433,10-19M,Personal,1.0
3434,40-49M,Personal,36.0
3435,50-59F,Personal,12.0
3437,40-49F,Personal,41.0
3438,0-9F,Personal,7.0
3440,50-59F,Personal,3.0
3441,50-59F,Personal,2.0
3442,40-49F,Personal,35.0
3444,40-49F,Personal,84.0
3446,10-19M,Personal,49.0
3447,50-59M,Personal,1.0
3448,50-59M,Personal,4.0
3450,50-59F,Personal,115.0
3451,50-59M,Personal,16.0
3453,50-59M,Personal,4.0
3458,40-49F,Personal,7.0
3460,50-59F,Personal,46.0
3461,50-59F,Personal,13.0
3462,50-59M,Personal,14.0
3463,50-59F,Personal,13.0
3464,50-59M,Personal,10.0
3465,60-69F,Personal,165.0
3467,60-69M,Personal,23.0
3468,50-59F,Personal,
3469,60-69M,Personal,9.0
3472,60-69M,Personal,11.0
3475,50-59M,Personal,12.0
3477,60-69M,Personal,
3478,60-69F,Personal,90.0
3480,10-19M,Personal,16.0
3482,0-9M,Personal,9.0
3483,60-69M,Personal,2.0
3485,60-69F,Personal,2.0
3490,50-59M,Personal,6.0
3491,50-59M,Personal,
3494,50-59M,Personal,6.0
3496,10-19M,Personal,73.0
3498,10-19M,Personal,38.0
3500,10-19F,Personal,721.0
3501,10-19M,Personal,10.0
3505,10-19M,Personal,56.0
3507,60-69M,Personal,1.0
3509,10-19M,Personal,1.0
3512,50-59M,Personal,2.0
3515,40-49M,Personal,6.0
3516,50-59M,Personal,15.0
3517,50-59M,Personal,12.0
3518,60-69M,Personal,20.0
3520,60-69F,Personal,6.0
3521,10-19F,Personal,12.0
3522,60-69F,Personal,8.0
3523,60-69M,Personal,26.0
3525,50-59M,Personal,11.0
3527,50-59M,Personal,4.0
3530,50-59M,Personal,
3531,10-19M,Personal,
3533,50-59M,Personal,15.0
3537,50-59M,Personal,4.0
3540,60-69M,Personal,5.0
3542,50-59F,Personal,
3544,10-19M,Personal,4.0
3546,10-19M,Personal,10.0
3549,50-59M,Personal,94.0
3550,20-29F,Personal,718.0
3551,10-19M,Personal,86.0
3555,20-29F,Personal,204.0
3556,50-59F,Personal,166.0
3557,50-59M,Personal,15.0
3558,60-69M,Personal,23.0
3559,10-19M,Personal,5.0
3561,10-19M,Personal,52.0
3562,10-19M,Personal,1.0
3563,10-19M,Personal,
3564,40-49F,Personal,182.0
3566,40-49M,Personal,2.0
3567,30-39F,Personal,8.0
3568,60-69M,Personal,31.0
3570,50-59F,Personal,8.0
3571,20-29M,Personal,
3572,40-49F,Personal,1.0
3573,50-59F,Personal,5.0
3575,50-59M,Personal,3.0
3579,50-59M,Personal,53.0
3580,60-69M,Personal,4.0
3581,10-19M,Personal,9.0
3584,0-9M,Personal,9.0
3585,10-19M,Personal,325.0
3586,50-59M,Personal,3.0
3588,10-19M,Personal,
3589,10-19M,Personal,9.0
3590,50-59M,Personal,2.0
3591,50-59F,Personal,
3594,10-19F,Personal,
3595,50-59M,Personal,6.0
3596,50-59F,Personal,
3597,40-49M,Personal,4.0
3608,60-69M,Personal,16.0
3610,40-49M,Personal,21.0
3612,50-59M,Personal,35.0
3614,10-19F,Personal,2.0
3616,10-19M,Personal,50.0
3617,50-59M,Personal,
3618,50-59F,Personal,4.0
3620,10-19M,Personal,64.0
3621,10-19M,Personal,10.0
3622,50-59M,Personal,3.0
3623,50-59M,Personal,1.0
3624,10-19M,Personal,7.0
3629,0-9M,Personal,148.0
3630,10-19M,Personal,665.0
3631,10-19M,Personal,42.0
3633,10-19M,Personal,2.0
3634,50-59M,Personal,11.0
3635,50-59F,Personal,1.0
3636,50-59M,Personal,33.0
3637,10-19F,Personal,6.0
3638,50-59M,Personal,12.0
3639,50-59M,Personal,6.0
3640,0-9M,Personal,7.0
3641,50-59M,Personal,7.0
3644,0-9M,Personal,63.0
3646,50-59M,Personal,5.0
3649,50-59M,Personal,1.0
3658,50-59M,Personal,59.0
3659,50-59F,Personal,7.0
3660,50-59F,Personal,265.0
3662,20-29M,Personal,5.0
3663,50-59M,Personal,1.0
3664,50-59M,Personal,21.0
3666,60-69F,Personal,44.0
3669,60-69M,Personal,14.0
3670,50-59M,Personal,9.0
3672,50-59F,Personal,180.0
3673,50-59F,Personal,5.0
3675,50-59F,Personal,12.0
3677,0-9M,Personal,351.0
3678,50-59F,Personal,18.0
3682,10-19M,Personal,3.0
3683,50-59M,Personal,9.0
3685,50-59F,Personal,17.0
3687,10-19M,Personal,4.0
3688,50-59F,Personal,5.0
3690,10-19M,Personal,426.0
3691,10-19M,Personal,28.0
3694,20-29M,Personal,
3695,50-59M,Personal,
3697,50-59M,Personal,4.0
3698,50-59M,Personal,
3699,30-39M,Personal,5.0
3700,60-69M,Personal,9.0
3701,60-69M,Personal,4.0
3705,60-69M,Personal,
3707,50-59M,Personal,31.0
3709,50-59M,Personal,2.0
3711,50-59M,Personal,
3712,60-69M,Personal,2.0
3713,60-69M,Personal,19.0
3714,60-69M,Personal,32.0
3715,60-69M,Personal,4.0
3717,60-69M,Personal,30.0
3719,60-69F,Personal,
3720,60-69M,Personal,6.0
3722,50-59F,Personal,43.0
3723,10-19F,Personal,9.0
3725,50-59F,Personal,4.0
3726,50-59M,Personal,3.0
